,journal
Sheng wu hua xue yu sheng wu wu li xue bao Acta biochimica et biophysica Sinica,3
Biomedical journal,3
Journal of nanobiotechnology,3
Cytotherapy,3
Nature reviews. Immunology,3
Journal of chemical theory and computation,3
Nature biotechnology,3
Biochemistry,3
Molecular cell,3
Breastfeeding medicine : the official journal of the Academy of Breastfeeding Medicine,3
Transfusion medicine and hemotherapy : offizielles Organ der Deutschen Gesellschaft fur Transfusionsmedizin und Immunhamatologie,3
The Journal of heart and lung transplantation : the official publication of the International Society for Heart Transplantation,3
International journal of biological sciences,3
Canadian journal of veterinary research = Revue canadienne de recherche veterinaire,3
Zhonghua shi yan he lin chuang bing du xue za zhi = Zhonghua shiyan he linchuang bingduxue zazhi = Chinese journal of experimental and clinical virology,3
Frontiers in veterinary science,3
The American journal of pathology,3
FASEB journal : official publication of the Federation of American Societies for Experimental Biology,3
"Advanced materials (Deerfield Beach, Fla.)",3
Protein expression and purification,3
International journal of environmental research and public health,3
Proteins,3
Journal of biotechnology,2
Talanta,2
Chemical biology & drug design,2
Journal of clinical pathology,2
Annals of internal medicine,2
New microbes and new infections,2
Antimicrobial agents and chemotherapy,2
Biochemistry. Biokhimiia,2
EMBO reports,2
Gene,2
Clinical biochemistry,2
Journal of King Saud University. Science,2
The new microbiologica,2
JAMA internal medicine,2
Seminars in immunology,2
"Protein engineering, design & selection : PEDS",2
Obstetrics and gynecology,2
Avian pathology : journal of the W.V.P.A,2
Journal of controlled release : official journal of the Controlled Release Society,2
Trials,2
Molecular biology reports,2
Theranostics,2
Chimia,2
World journal of gastroenterology,2
"Life (Basel, Switzerland)",2
"Internal medicine (Tokyo, Japan)",2
Monoclonal antibodies in immunodiagnosis and immunotherapy,2
RMD open,2
The Lancet. Rheumatology,2
The veterinary quarterly,2
The Lancet regional health. Europe,2
Annual review of biophysics,2
Genes & diseases,2
Cureus,2
Archivum immunologiae et therapiae experimentalis,2
Laboratory medicine,2
Proteomics,2
Xi bao yu fen zi mian yi xue za zhi = Chinese journal of cellular and molecular immunology,2
Journal of perinatology : official journal of the California Perinatal Association,2
"Pharmaceuticals (Basel, Switzerland)",2
Immunology letters,2
Recent patents on biotechnology,2
Biochimie,2
Journal of clinical immunology,2
Journal of microbiology and biotechnology,2
JAMA pediatrics,2
Advanced healthcare materials,2
Virusdisease,2
Analytica chimica acta,2
Clinical and experimental immunology,2
Advanced biology,2
PLoS neglected tropical diseases,2
JAMA oncology,2
Bioconjugate chemistry,2
Molekuliarnaia biologiia,2
Pathogens and global health,2
Journal of leukocyte biology,2
Mikrochimica acta,2
Clinical journal of the American Society of Nephrology : CJASN,2
